S,fluidColumn,An,Rem,Dfn,colIndex,cdrag
1.2,4,1.427996660722633,2610.145148100523,1.0344420281805973,2,1.850100751192838
1.2,15,1.427996660722633,2166.338858072398,1.0134405311024437,11,1.8633023220591414
1.2,4,1.427996660722633,2551.932968666615,1.0228215767634854,1,1.9031668866243865
1.2,15,1.427996660722633,2231.0374035894047,1.019782999822615,4,1.909719215544213
1.2,15,1.427996660722633,6089.400566244912,0.9906504871524595,11,1.757463377298763
1.2,15,1.427996660722633,5860.944512081597,0.992319845332855,13,1.6668951371804215
1.2,4,1.427996660722633,2495.1290503436326,1.0227505102042334,3,1.8411384736575884
0.6,15,1.9634954084936207,3108.2840101095194,1.0228215767634854,1,1.73499391714189
1.2,11,1.427996660722633,2418.4230899527447,0.995954356846473,1,1.9266052561575429
0.6,8,1.9634954084936205,2033.453043512943,1.0223026566432132,7,1.1299767520875246
1.2,15,1.427996660722633,6967.502731658396,1.0197903416241065,11,1.687908118571171
0.863,15,1.6863084560331687,2830.855238669862,1.0228215767634854,0,1.0092662398159369
1.2,11,1.427996660722633,2535.9730079650753,1.0228215767634854,1,1.878733714809034
0.618,15,1.941651825457227,1971.7637723084194,1.0168890538683468,9,1.664293498931146
1.2,15,1.427996660722633,6140.149622041816,1.0228215767634854,0,0.9740465527080826
0.6,8,1.9634954084936205,2870.465141580376,1.0320451452282158,0,0.8507709838074543
1.2,15,1.427996660722633,1987.5124962808009,1.0198893529325528,11,1.8060528645301661
1.084,15,1.5074820794576744,2162.2366220094877,1.0100832044459072,14,1.8119016012463258
0.47100000000000003,11,2.1356850126375204,1973.572482535902,0.9930684769187607,5,1.6178654618378023
0.569,4,2.002289772842443,8492.937331004014,0.995954356846473,0,0.7269928607008564
0.6,8,1.9634954084936207,2884.4435797177757,1.0228215767634854,0,0.83146915124438
0.39799999999999996,15,2.247205045486261,5343.542870111386,0.9943279826853522,6,1.340418422611089
1.2,15,1.427996660722633,2238.3592658471193,1.0225959547115129,4,1.9044659637793921
1.2,15,1.427996660722633,2043.077441937973,1.0160732393985867,7,1.8888940971008212
1.2,11,1.427996660722633,50.34651300911342,0.9513245431163679,2,3.704966205653866
0.6,4,1.9634954084936205,2310.6914821409964,1.0227923070762626,3,1.6755552046089992
1.2,11,1.427996660722633,2379.4529186298414,1.0173495246592008,7,1.8792460595192364
1.2,8,1.427996660722633,2539.943714151817,1.020864398340249,1,1.786968364830458
0.6,8,1.9634954084936205,1595.6877649562598,1.0004644289039497,7,1.5606341542272555
0.6,8,1.9634954084936205,6325.870204278355,1.021127601598133,7,1.4127630071202206
1.2,8,1.4279966607226329,2327.9796523058517,1.0170354640948178,7,1.8067798703006082
0.937,4,1.6218857272017517,2665.2031187833054,1.0218868277433741,2,1.945640795497014
1.2,8,1.427996660722633,2433.7876485685833,1.0228215767634854,0,0.9554310415807942
0.569,4,2.002289772842443,2786.1930093280926,1.0227190002050794,2,1.7814853008794154
1.2,15,1.427996660722633,2686.1074989461968,0.9891860705634364,11,1.8838958529308794
0.349,11,2.3288307291251247,1449.4207840998336,0.9894709719746386,9,1.45182751812509
