S,fluidColumn,An,Rem,Dfn,colIndex,cdrag
0.6,15,1.9634954084936205,2795.9117133529903,1.0227954889091695,2,1.6742727710906093
0.6,15,1.9634954084936205,2445.1805135492,1.022771836018806,3,1.8053558943830657
0.6,15,1.9634954084936205,2126.3150142661666,1.0227518490115122,4,1.7898097612714325
0.6,15,1.9634954084936205,1906.85342927637,1.0227363404418095,5,1.689330622715006
0.6,15,1.9634954084936205,1857.4792652447768,1.022719267380463,6,1.7605868911118314
0.6,15,1.9634954084936205,1737.8615895493103,1.022703387438605,7,1.8802286049852768
0.6,15,1.9634954084936205,1666.249320434422,1.0226875112136435,8,1.5987986131499552
0.6,15,1.9634954084936205,1591.608516129609,1.022672880374534,9,1.7976588723426685
0.6,15,1.9634954084936205,1576.2141201074216,1.0226568622303684,10,1.5830413979634066
0.6,15,1.9634954084936205,1489.6893933794306,1.0226433301932312,11,1.6760298128563154
0.6,15,1.9634954084936205,1530.3293294701623,1.0226292777101071,12,1.6714274527954789
0.6,15,1.9634954084936205,1543.8303094255511,1.022614363289521,13,1.580892835331459
0.6,15,1.9634954084936205,1513.4102795032643,1.0226002758369126,14,1.3186363401812176
0.6,15,1.9634954084936205,2787.76989311289,1.0228215767634854,0,0.8814286302609569
0.6,15,1.9634954084936205,2787.76989311289,1.0228215767634854,1,1.7456331695821004
0.6,15,1.9634954084936205,2787.76989311289,1.0227891471625095,2,1.6586432060383103
0.6,15,1.9634954084936205,2434.3727778566495,1.0227596054268437,3,1.8018372569003887
0.6,15,1.9634954084936205,2128.8448916043376,1.022733548788004,4,1.8873715716297728
0.6,15,1.9634954084936205,1918.8915942096748,1.0227101858856986,5,1.7739011675511647
0.6,15,1.9634954084936205,1803.5943607870822,1.0226878347338133,6,1.7244248846241224
0.6,15,1.9634954084936205,1726.774622556688,1.0226660236623388,7,1.9037344539959662
0.6,15,1.9634954084936205,1671.7904184690913,1.0226433544855384,8,1.5658682111520204
0.6,15,1.9634954084936205,1572.9356305072126,1.0226227459825845,9,1.7647625440107944
0.6,15,1.9634954084936205,1573.208822267193,1.0226007338356107,10,1.6498456970427486
0.6,15,1.9634954084936205,1502.272663080179,1.0225805298622832,11,1.65691480389324
0.6,15,1.9634954084936205,1523.422019163144,1.0225601230925336,12,1.6596643680346816
0.6,15,1.9634954084936205,1534.000437732912,1.0225390992494,13,1.585367999011889
0.6,15,1.9634954084936205,1513.0198402971014,1.0225186788235399,14,1.360020526454768
0.6,15,1.9634954084936205,2787.76989311289,1.0228215767634854,0,0.8814286302609569
0.6,15,1.9634954084936205,2787.76989311289,1.0228215767634854,1,1.7456331695821004
0.6,15,1.9634954084936205,2787.76989311289,1.022781707158628,2,1.658655271478868
0.6,15,1.9634954084936205,2434.341141109943,1.0227447254218904,3,1.801863471992622
0.6,15,1.9634954084936205,2128.7895592867867,1.0227112287843891,4,1.8874127622797978
0.6,15,1.9634954084936205,1918.8167813348466,1.022680425885506,5,1.7739527880747918
0.6,15,1.9634954084936205,1803.5006039225814,1.0226506347390716,6,1.724487612396894
0.6,15,1.9634954084936205,1726.6624182943663,1.0226213836750495,7,1.903817556777881
0.6,15,1.9634954084936205,1671.660060913872,1.0225912745079764,8,1.5659479599073
0.6,15,1.9634954084936205,1572.7925397362076,1.0225632260163022,9,1.7648652649031982
0.6,15,1.9634954084936205,1573.0452618083023,1.0225337738830327,10,1.6499537361045935
0.6,15,1.9634954084936205,1502.0969546146987,1.0225061299248337,11,1.6570353648895613
0.6,15,1.9634954084936205,1523.2240393396767,1.0224782831722314,12,1.6597972088019075
0.6,15,1.9634954084936205,1533.7811480580942,1.022449819348473,13,1.5855064326985167
0.6,15,1.9634954084936205,1512.783887434966,1.0224219589436987,14,1.3601491827504877
0.6,15,1.9634954084936205,2787.76989311289,1.0228215767634854,0,0.8814286302609569
0.6,15,1.9634954084936205,2787.76989311289,1.0228215767634854,1,1.7456331695821004
0.6,15,1.9634954084936205,2787.76989311289,1.0227731231139485,2,1.6586691924263746
0.6,15,1.9634954084936205,2434.304640067071,1.0227275573365213,3,1.8018937190957618
0.6,15,1.9634954084936205,2128.725720158871,1.0226854766618605,4,1.8874602889982517
0.6,15,1.9634954084936205,1918.7304677690904,1.02264608972897,5,1.7740123499518001
0.6,15,1.9634954084936205,1803.392435519134,1.0226077145516168,6,1.724559991404537
0.6,15,1.9634954084936205,1726.5329685104393,1.0225698794597338,7,1.9039134471725971
0.6,15,1.9634954084936205,1671.5096695795908,1.022531186268173,8,1.566039981605805
0.6,15,1.9634954084936205,1572.6274603444483,1.022494553754551,9,1.7649837958909498
0.6,15,1.9634954084936205,1572.856569504223,1.0224565176028786,10,1.6500784057466598
0.6,15,1.9634954084936205,1501.8942502106863,1.0224202896286687,11,1.6571744861569317
0.6,15,1.9634954084936205,1522.9956446181886,1.0223838588631329,12,1.6599505026976649
0.6,15,1.9634954084936205,1533.5281728597483,1.02234681102976,13,1.5856661831375836
0.6,15,1.9634954084936205,1512.5116927483937,1.0223103666180926,14,1.3602976525454056
0.6,15,1.9634954084936205,2783.0604088563605,1.0228215767634854,0,0.8853454798511617
