S,Rem,Prandtl,colIndex,nusselt
0.6,1626.5059365746604,0.7098282507579005,8,22.820965175237248
0.6,1560.3141900725832,0.709826370580482,9,21.06031502400841
0.6,1539.9179261326244,0.7098245588231713,10,19.987130929002756
0.6,2827.3880968302433,0.7098435803104706,1,50.307118006535546
0.6,2827.3880968302433,0.7098401254534491,2,42.65918237492212
0.6,2356.2564451229287,0.7098371124578836,3,37.08059350677692
0.6,2038.0547170314956,0.7098344377753364,4,33.261632662682366
0.6,1885.3016837134423,0.7098318988915537,5,30.075015856475517
0.6,1809.8360254758038,0.7098293747307494,6,26.641681208753326
0.6,1740.9985545244579,0.7098267907597975,7,24.65593465018124
0.6,1626.3596074718123,0.7098242810594599,8,22.773092124511823
0.6,1560.1504203450966,0.7098218340542016,9,21.0225986237573
0.6,1539.7332074901035,0.7098194555273499,10,19.959018239799594
0.6,2827.3880968302433,0.7098435803104706,1,50.294639698325774
0.6,2827.3880968302433,0.7098394825321787,2,42.56776869165034
0.6,2356.21640618581,0.7098358267341149,3,37.025786017228704
0.6,2037.9854531896112,0.7098325093497548,4,33.19962337657829
0.6,1885.2055749122885,0.7098293278611779,5,30.026453617872015
0.6,1809.7130098160596,0.70982616119611,6,26.61812593356421
0.6,1740.8506335672394,0.7098229348285887,7,24.61639677654907
0.6,1626.1937903700577,0.7098197828258596,8,22.73666292710056
0.6,1559.9648425112714,0.7098166936100628,9,20.998511393735054
0.6,1539.523894072882,0.7098136729602449,10,19.934458369777335
0.6,2827.3880968302433,0.7098435803104706,1,50.2981211279812
0.6,2827.3880968302433,0.7098387640156877,2,42.53322545818742
0.6,2356.1716593047154,0.7098343898609586,3,36.99443862631396
0.6,2037.9080462489972,0.7098303542595354,4,33.16147584984852
0.6,1885.0981686551884,0.7098264546893904,5,29.996621992784245
0.6,1809.575536021642,0.7098225700821631,6,26.582745876428834
0.6,1740.6853299618783,0.7098186259198853,7,24.59299609191827
0.6,1626.0084905338035,0.7098147562546903,8,22.716735520129934
0.6,1559.7574634447462,0.7098109495061097,9,20.982354800790993
0.6,1539.289994740981,0.7098072114483978,10,19.919767743552814
0.6,2827.3880968302433,0.7098435803104706,1,50.27392415099719
0.6,2827.3880968302433,0.709837969908476,2,42.50460412421967
0.6,2356.1222047158353,0.709832801856438,3,36.97694274261605
0.6,2037.822497028155,0.7098279725452405,4,33.13769522588332
0.6,1884.979466646505,0.7098232794483026,5,29.978028821101248
0.6,1809.4236070016952,0.7098186015015732,6,26.562872188343263
0.6,1740.5026480811932,0.7098138641959033,7,24.579122083125203
0.6,1625.8037138451575,0.70980920156671,8,22.70634369823301
0.6,1559.528290825379,0.7098046020306288,9,20.964775261922014
0.6,1539.0315193932283,0.7098000713566043,10,19.90520720858587
0.6,2827.3880968302433,0.7098435803104706,1,50.26537309007042
0.6,2827.3880968302433,0.7098371002155175,2,42.48047038555085
0.6,2356.0680426802,0.7098310627404701,3,36.95156839158613
0.6,2037.7288064316353,0.7098253642516936,4,33.12287868602571
0.6,1884.8494707696952,0.7098198022175979,5,29.955687792849538
0.6,1809.2572259709202,0.7098142555788294,6,26.543983917422196
0.6,1740.3025927570734,0.7098086498358741,7,24.56383250876189
0.6,1625.579466803463,0.7098031190058217,8,22.689288775329572
0.6,1559.2773331385333,0.709797651502116,9,20.952240908841873
0.6,1538.7484789662144,0.7097922530878668,10,19.895907774257154
0.6,2827.3880968302433,0.7098435803104706,1,50.240408507227556
0.6,2827.3880968302433,0.7098361517292354,2,42.463171950562426
0.6,2356.0089733844443,0.7098291661100639,3,36.92754233920371
0.6,2037.6266293254303,0.7098225197925482,4,33.1086415472027
0.6,1884.7077028542308,0.7098160102396042,5,29.938309555227608
0.6,1809.0757818215554,0.7098095163969708,6,26.532935407247297
0.6,1740.084430280015,0.7098029637756069,7,24.55486448715338
0.6,1625.3349281876558,0.7097964863725882,8,22.680703383126843
0.6,1559.0036727016789,0.7097900725978471,9,20.94508710454343
0.6,1538.4398399889046,0.709783728208102,10,19.88428806164436
0.6,2827.3880968302433,0.7098435803104706,1,50.23038573391481
0.6,2827.3880968302433,0.7098351306346308,2,42.46205754846229
0.6,2355.945381956417,0.70982712434489,3,36.909403240798724
0.6,2037.516632438088,0.7098194577519752,4,33.09554375151888
0.6,1884.5550887174131,0.7098119283128455,5,29.930051587066465
0.6,1808.8804604363816,0.709804414978678,6,26.522525717307946
0.6,1739.8495876694037,0.7097968432716628,7,24.544505019193902
0.6,1625.0716988374804,0.7097893471672887,8,22.671274379187825
0.6,1558.7091024417336,0.7097819150716682,9,20.934620537833528
0.6,1538.1076261843564,0.7097745527346006,10,19.878359666785027
