S,Vmfn,Rem,Dfn,colIndex,frictionFactor
0.6,0.14753795268507214,1533.5281728597483,1.02234681102976,13,7.286547648733499
0.6,0.14851353452818328,1512.5116927483937,1.0223103666180926,14,8.409097050460925
0.6,0.27124857657994195,2783.0604088563605,1.0228215767634854,1,5.3413758862929805
0.6,0.23750620361389896,2783.0604088563605,1.0227636362564971,2,4.512847675015035
0.6,0.20702251258313906,2436.6108230997365,1.0227081333748398,3,5.509993504304753
0.6,0.18503328164088254,2123.668282890082,1.022655954078187,4,6.435222278933688
0.6,0.17168995677234386,1897.9264240914388,1.0226063778524557,5,7.313460320759058
0.6,0.1667275075033977,1760.908549803499,1.0225588784143125,6,6.933477733513274
0.6,0.16299114833392775,1709.8701608928786,1.0225116806333092,7,6.6910494878410205
0.6,0.15470259254724,1671.4142044393304,1.0224635381686389,8,7.321063738940913
0.6,0.1562611377033001,1586.2847068889162,1.022417497688759,9,6.164656199225741
0.6,0.14716659883091604,1602.1368081652283,1.0223692700924907,10,7.487998754373887
0.6,0.1474311106544071,1508.7638863220618,1.0223229554341846,11,7.576365372893967
0.6,0.1474731213557851,1511.3533970665035,1.0222765966056462,12,6.868518854021477
0.6,0.1448285217715087,1511.6616306670785,1.0222297082906473,13,7.387870209190933
0.6,0.14621487491698248,1484.431772938218,1.0221836131524804,14,8.461063499589317
0.6,0.27124857657994195,2783.0604088563605,1.0228215767634854,1,5.3413758862929805
0.6,0.23750620361389896,2783.0604088563605,1.0227527641302219,2,4.512895647752439
0.6,0.20702251258313906,2436.5645494883292,1.0226863891296427,3,5.510110657178855
0.6,0.18503328164088254,2123.587621601231,1.0226233377208842,4,6.435427529001264
0.6,0.17168995677234386,1897.8182931286242,1.0225628893894014,5,7.313771354097211
0.6,0.1667275075033977,1760.7747834244935,1.022504517851523,6,6.9338463458226585
0.6,0.16299114833392775,1709.7077990886305,1.0224464479769577,7,6.691476380547952
0.6,0.15470259254724,1671.2237519737464,1.0223874334252876,8,7.3216087061996005
0.6,0.1562611377033001,1586.0738289960989,1.0223305208638755,9,6.165180669748496
0.6,0.14716659883091604,1601.8933962170781,1.0222714211932002,10,7.48871548421766
0.6,0.1474311106544071,1508.5060068786452,1.0222142344658167,11,7.57717118223635
0.6,0.1474731213557851,1511.0663722681772,1.0221570035743497,12,6.869322475174976
0.6,0.1448285217715087,1511.3458386594589,1.022099243202894,13,7.388813228317073
0.6,0.14621487491698248,1484.0934777185619,1.0220422760138972,14,8.462233571055506
0.6,0.27124857657994195,2783.0604088563605,1.0228215767634854,1,5.3413758862929805
0.6,0.23750620361389896,2783.0604088563605,1.0227407479631487,2,4.51294866970174
0.6,0.20702251258313906,2436.5134075456485,1.02266235680512,3,5.510240143481532
0.6,0.18503328164088254,2123.4984757138236,1.0225872892479415,4,6.435654392113678
0.6,0.17168995677234386,1897.6987901980444,1.0225148247765576,5,7.31411514724333
0.6,0.1667275075033977,1760.6269516508114,1.0224444371069243,6,6.934253791583299
0.6,0.16299114833392775,1709.5283682789698,1.0223743511089232,7,6.691948257105733
0.6,0.15470259254724,1671.013281063318,1.0223033204425662,8,7.322211112877035
0.6,0.1562611377033001,1585.8407898573687,1.0222343917740069,9,6.1657604322877235
0.6,0.14716659883091604,1601.624408753906,1.0221632760055546,10,7.489507792609357
0.6,0.1474311106544071,1508.2210368372878,1.022094073187782,11,7.57806198338375
0.6,0.1474731213557851,1510.749200709352,1.0220248262142169,12,6.870210877185751
0.6,0.1448285217715087,1510.9968845749631,1.0219550497693124,13,7.389855757878157
0.6,0.14621487491698248,1483.7196639021413,1.0218860665145824,14,8.463527141163306
0.6,0.27020401420246937,2772.3430062657953,1.0228215767634854,1,5.43555758450945
0.6,0.2365617408088455,2772.3430062657953,1.0227276672004442,2,4.699889766985461
0.6,0.20836426177406334,2426.768962596742,1.0226367934441365,3,5.825288393112327
0.6,0.19086395207164053,2137.1658054643785,1.0225496675568233,4,6.258006993524211
0.6,0.18073418653320122,1957.369424883399,1.022464714162976,5,5.909547359657133
0.6,0.16710664111706822,1853.210475375098,1.0223791028099865,6,6.5176008143072135
0.6,0.15906133247786536,1713.2202418468385,1.0222949181007217,7,6.999258261034268
0.6,0.15250403250845837,1630.4978632738691,1.0222111251852732,8,7.504683578251009
0.6,0.1556610589194194,1563.05180370567,1.022129365538903,9,6.64283463100093
0.6,0.15147710425255187,1595.1810923603878,1.0220460837011918,10,7.372038330235576
0.6,0.1529241395222383,1552.0789875687701,1.0219639651976629,11,6.913344512106935
0.6,0.14975310954415125,1566.680956573511,1.0218809027099989,12,6.6658993073806005
0.6,0.14692750088850548,1533.9716900019782,1.0217979221679439,13,7.483730132428341
0.6,0.14542652595285224,1504.809848585763,1.0217152109841126,14,8.748547993733155
0.6,0.27020401420246937,2772.3430062657953,1.0228215767634854,1,5.43555758450945
0.6,0.2365617408088455,2772.3430062657953,1.022713314330408,2,4.6999557257503115
0.6,0.20836426177406334,2426.7081208013897,1.0226080877196144,3,5.825451915311969
0.6,0.19086395207164053,2137.0586424267212,1.0225066089925432,4,6.25827052316209
0.6,0.18073418653320122,1957.2222025332237,1.0224073027731562,5,5.909879199351746
0.6,0.16710664111706822,1853.0246234209756,1.0223073386092216,6,6.518058338571864
0.6,0.15906133247786536,1713.005474444901,1.0222088011029458,7,6.999847920512302
0.6,0.15250403250845837,1630.2525848799166,1.0221106554045707,8,7.505421261504149
0.6,0.1556610589194194,1562.7774809468824,1.02201454298837,9,6.643580948380006
0.6,0.15147710425255187,1594.8611344505093,1.0219169083956685,10,7.372970192010062
0.6,0.1529241395222383,1551.728758827152,1.0218204371504596,11,6.914315581779642
0.6,0.14975310954415125,1566.288150218531,1.0217230219357978,12,6.666929349105022
0.6,0.14692750088850548,1533.5486216428028,1.021625688680768,13,7.484991797000868
0.6,0.14542652595285224,1504.3570907650242,1.021528624797789,14,8.750145950135348
0.6,0.27020401420246937,2772.3430062657953,1.0228215767634854,1,5.43555758450945
0.6,0.2365617408088455,2772.3430062657953,1.022697862302246,2,4.700026737777335
0.6,0.20836426177406334,2426.6426211775947,1.022577183682537,3,5.825627970464438
0.6,0.19086395207164053,2136.943278026452,1.0224602529649116,4,6.2585542589459076
0.6,0.18073418653320122,1957.0637166599263,1.022345494772784,5,5.9102364932583775
0.6,0.16710664111706822,1852.8245571127704,1.0222300786543257,6,6.5185509721812265
0.6,0.15906133247786536,1712.7742864880204,1.0221160892110335,7,7.000482847553035
0.6,0.15250403250845837,1629.9885592084509,1.0220024915933108,8,7.506215599067348
0.6,0.1556610589194194,1562.4821977584431,1.0218909272743666,9,6.644384606559715
0.6,0.15147710425255187,1594.5167371374553,1.0217778407974045,10,7.373973679476452
0.6,0.1529241395222383,1551.351787160146,1.0216659176847693,11,6.915361321224225
0.6,0.14975310954415125,1565.8653594888715,1.021553050620994,12,6.668038627518397
0.6,0.14692750088850548,1533.0932693549985,1.0214402655344526,13,7.48635055558517
0.6,0.14542652595285224,1503.8697946318575,1.0213277498373543,14,8.75186693071363
0.6,0.2725011178617673,2795.9117133529903,1.0228215767634854,1,5.288080290235409
0.6,0.23832826486925843,2795.9117133529903,1.02268099134367,2,4.524216611857667
0.6,0.20725746132047523,2444.691520797679,1.0225428409901172,3,5.369735469526531
0.6,0.18587245836717378,2125.4646347086145,1.0224083566158595,4,7.214878576433587
0.6,0.18106456698724788,1905.7096106306453,1.0222783507670496,5,5.614448210814284
0.6,0.16940944993334342,1855.9937894697841,1.0221467805211397,6,6.531915727763595
0.6,0.16243308025142503,1736.1244690504707,1.022016403483597,7,6.891076917367716
0.6,0.15516107970795784,1664.2508439624162,1.0218860302540453,8,6.7794489463493806
0.6,0.15366425397737898,1589.381593386896,1.0217569024960178,9,6.0904456790284
0.6,0.14523306926625973,1573.6938969171856,1.0216263875293998,10,8.046722882412679
0.6,0.14919867201608858,1487.0100084378334,1.0214983587471516,11,7.774031182677843
0.6,0.15051863788037245,1527.2712790819264,1.021369809610341,12,6.739458798511056
0.6,0.1475566241079068,1540.437066968389,1.0212403986308045,13,7.320282131334425
0.6,0.1487168455768274,1509.78180931075,1.0211118147029683,14,8.452662016538362
0.6,0.2725011178617673,2795.9117133529903,1.0228215767634854,1,5.288080290235409
0.6,0.23832826486925843,2795.9117133529903,1.0226632512339122,2,4.524295093312013
0.6,0.20725746132047523,2444.6157645758462,1.0225073607992168,3,5.369921795069845
0.6,0.18587245836717378,2125.3329048023534,1.0223551363714882,4,7.2152541578605165
0.6,0.18106456698724788,1905.532442976624,1.0222073904955828,5,5.614837958308656
0.6,0.16940944993334342,1855.763725540394,1.0220580802499895,6,6.532482606209526
0.6,0.16243308025142503,1735.8554589373907,1.0219099632392965,7,6.891794679144159
0.6,0.15516107970795784,1663.94139188005,1.0217618500634718,8,6.780272889093074
0.6,0.15366425397737898,1589.0368029323636,1.0216149823852079,9,6.091291747988382
0.6,0.14523306926625973,1573.30373506375,1.0214667275260625,10,8.04798062264801
0.6,0.14919867201608858,1486.5952486542205,1.0213209588760324,11,7.77538150464852
0.6,0.15051863788037245,1526.7979514116996,1.0211746698983681,12,6.740746664424264
0.6,0.1475566241079068,1539.91191150978,1.021027519105419,13,7.321808376373513
0.6,0.1487168455768274,1509.220306037395,1.0208811953899044,14,8.454571491525872
0.6,0.2725011178617673,2795.9117133529903,1.0228215767634854,1,5.288080290235409
0.6,0.23832826486925843,2795.9117133529903,1.0226443670833567,2,4.52437863894376
0.6,0.20725746132047523,2444.535125186968,1.0224695925323284,3,5.370120150738324
0.6,0.18587245836717378,2125.1926876857256,1.0222984840214868,4,7.215654003023438
0.6,0.18106456698724788,1905.3438659362455,1.0221318540943076,5,5.615252899542916
0.6,0.16940944993334342,1855.518852683398,1.0219636598303823,6,6.533086149929328
0.6,0.16243308025142503,1735.5691410641996,1.021796658833365,7,6.892558892547258
0.6,0.15516107970795784,1663.6120393516912,1.0216296617035883,8,6.781150186597609
0.6,0.15366425397737898,1588.6698498256128,1.0214639101028515,9,6.092192636740071
0.6,0.14523306926625973,1572.8885058642609,1.0212967713544914,10,8.049319904249469
0.6,0.14919867201608858,1486.1538535945504,1.0211321188453515,11,7.776819421696467
0.6,0.15051863788037245,1526.2942415271868,1.0209669460410038,12,6.742118123024447
0.6,0.1475566241079068,1539.35306284525,1.0208009114543444,13,7.323433745021964
0.6,0.1487168455768274,1508.6227943804627,1.0206357039762761,14,8.456605052275307
0.6,0.2725011178617673,2795.9117133529903,1.0228215767634854,1,5.288080290235409
0.6,0.23832826486925843,2795.9117133529903,1.022624338892003,2,4.5244672493138545
0.6,0.20725746132047523,2444.4496030565856,1.0224295361901576,3,5.3703305391931195
0.6,0.18587245836717378,2125.043984840679,1.0222383995679714,4,7.216078119968873
0.6,0.18106456698724788,1905.1438824997615,1.022051741567455,5,5.615693045653336
0.6,0.16940944993334342,1855.2591760756795,1.0218635192693704,6,6.5337263791770255
